Date,KOSPI Index,M1WO Index,M1EF Index,KBPMABIN Index,BTSYTRUH Index,JPEIGLBL Index,LGCPTRUU Index,RUGL Index,BCOMTR Index,BCOMGCTR Index
2011-03-15,1923.92,3115.31,415.83,184.3,479.6471,524.91,201.2451,2836.48,316.6997,358.7998
2011-03-16,1957.97,3087.02,417.25,183.84,480.7043,525.0,201.7651,2833.6,317.1186,359.65
2011-03-17,1959.03,3134.99,415.39,183.68,479.7365,525.58,202.0267,2857.13,327.3675,361.7355
2011-03-18,1981.13,3153.24,418.13,,479.7729,526.25,202.2273,2893.67,331.2387,364.7989
2011-03-21,2003.42,3203.07,422.54,183.4,479.1182,526.83,202.3433,2932.63,332.6863,367.4523
2011-03-22,2013.66,3212.01,426.41,183.5,478.3955,526.69,202.5801,2935.77,335.254,367.7879
2011-03-23,2012.18,3213.64,427.78,183.64,478.8051,527.18,202.1149,2920.41,336.8216,370.4654
2011-03-24,2036.78,3244.29,432.0,183.64,478.5005,527.56,202.2214,2941.07,338.3521,369.6685
2011-03-25,2054.04,3248.89,435.52,183.62,478.0623,527.68,201.5762,2952.7,339.1386,367.4048
2011-03-28,2056.39,3238.53,433.55,183.66,477.5679,527.4,201.2715,2941.69,334.8959,365.7863
2011-03-29,2072.13,3247.16,435.16,183.69,477.1623,527.36,200.6554,2941.99,334.75,364.8094
2011-03-30,2091.38,3277.35,441.63,183.62,477.2321,527.55,200.9644,2979.19,334.8044,366.7148
2011-03-31,2106.7,3274.81,445.96,183.69,476.9063,528.06,201.3027,2994.13,340.7971,370.5763
2011-04-01,2121.01,3291.12,451.47,183.92,476.6068,529.65,200.942,3001.87,341.7182,367.7463
2011-04-04,2115.87,3301.98,454.67,184.04,477.0398,530.77,201.8492,3012.26,343.4007,368.8046
2011-04-05,2130.43,3297.17,455.34,184.05,476.4907,530.38,201.4599,3011.59,344.1992,373.8237
2011-04-06,2126.71,3310.58,458.64,183.99,476.1058,530.96,201.8627,3020.51,344.5816,375.3684
2011-04-07,2122.14,3301.79,458.22,184.1,475.9499,530.88,201.7571,2994.02,344.5083,375.5748
2011-04-08,2127.97,3317.3,459.67,183.88,475.2375,531.07,202.2788,3005.84,349.4922,379.3844
2011-04-11,2122.39,3310.55,457.5,183.85,475.358,530.73,202.5344,2999.64,347.4451,377.8418
2011-04-12,2089.4,3274.3,448.83,184.05,476.5133,530.18,203.2879,2976.92,340.1691,374.1105
2011-04-13,2121.92,3286.68,451.89,184.0,476.7497,530.64,203.5398,2989.64,340.486,374.6257
2011-04-14,2141.06,3281.65,450.84,184.05,476.8087,530.36,203.4288,3013.09,341.4878,378.95
2011-04-15,2140.5,3285.45,450.63,184.12,477.5911,531.39,203.8455,3027.69,343.0334,382.4508
2011-04-18,2137.72,3234.38,443.29,184.3,478.5561,530.05,203.3971,2994.13,341.338,384.2282
2011-04-19,2122.68,3253.13,444.97,184.32,478.7539,530.83,203.9809,3000.71,343.3134,384.7951
2011-04-20,2169.91,3316.81,455.97,184.19,478.3645,531.82,204.7897,3045.33,347.1482,385.7737
2011-04-21,2198.54,3343.95,460.21,184.06,478.5612,532.02,205.5281,3078.35,350.1771,387.0355
2011-04-22,2197.82,3344.14,460.23,184.02,478.7162,,205.5316,3076.64,,387.0355
2011-04-25,2216.0,3335.49,459.4,183.92,478.839,531.86,205.5989,3084.3,350.7882,388.4021
2011-04-26,2206.3,3358.38,459.3,183.95,479.3993,532.5,206.4438,3101.31,349.1405,386.9615
2011-04-27,2206.7,3370.59,458.98,183.92,478.6509,532.16,205.9076,3108.96,347.9223,390.4625
2011-04-28,2208.35,3404.14,458.44,184.11,479.8588,534.34,207.7067,3145.3,347.7699,394.0922
2011-04-29,2192.36,3413.93,459.79,184.29,480.439,535.41,208.0529,3144.47,352.5991,400.5788
2011-05-02,2228.96,3422.51,460.96,184.35,480.4635,536.32,208.455,3157.24,350.1324,400.7611
2011-05-03,2200.73,3401.21,453.19,184.39,480.6949,536.94,208.3099,3136.76,346.1092,396.4635
2011-05-04,2180.64,3373.66,447.53,184.38,480.7347,537.5,208.6767,3111.76,339.5115,390.0039
2011-05-05,,3335.31,444.05,,481.3883,537.77,207.9074,3097.1,323.655,381.2793
2011-05-06,2147.45,3345.87,444.78,184.6,482.2632,538.49,207.4801,3088.85,320.6097,383.9051
2011-05-09,2139.17,3332.8,444.29,184.64,482.7622,539.08,206.6145,3088.22,326.7707,386.8917
2011-05-10,,3364.0,446.21,,482.5207,539.55,206.7437,3120.3,330.8582,390.4169
2011-05-11,2166.63,3343.46,445.94,184.82,482.7991,539.81,206.7453,3103.85,320.9182,386.4298
2011-05-12,2122.65,3328.66,439.04,185.13,483.1651,540.12,205.9157,3081.08,321.3557,387.7984
2011-05-13,2120.08,3309.63,438.19,185.1,483.3944,540.69,206.1687,3072.93,321.2856,384.4042
2011-05-16,2104.18,3294.43,435.17,185.36,483.4758,541.46,206.513,3062.08,320.0481,383.6335
2011-05-17,2102.41,3276.74,433.97,185.34,483.5678,541.96,206.2929,3053.7,319.4218,380.9079
2011-05-18,2135.78,3308.54,437.53,185.4,483.0373,543.3,206.1844,3087.07,327.3975,384.9971
2011-05-19,2095.51,3317.92,436.81,185.46,482.9367,543.35,206.113,3103.83,323.3301,384.0973
2011-05-20,2111.5,3296.13,436.95,185.48,483.5094,543.4,205.9856,3087.6,326.3377,388.3151
2011-05-23,2055.71,3240.62,426.72,185.81,483.7751,542.6,205.4296,3041.44,323.1311,389.9876
2011-05-24,2061.76,3245.78,430.97,185.82,483.7269,542.47,205.6806,3050.38,324.613,391.9941
2011-05-25,2035.87,3257.05,428.46,185.98,484.2774,541.79,205.6036,3054.92,329.2783,392.8948
2011-05-26,2091.91,3274.09,434.37,185.78,485.0904,540.97,206.3486,3083.9,328.6227,391.841
2011-05-27,2100.24,3302.88,439.93,185.93,485.3696,541.53,207.2097,3115.44,332.3596,395.339
2011-05-30,2093.79,3302.56,440.12,186.11,485.3604,,207.2674,3120.0,,
