DBCMYEEN Index
GOLDLNPM Index
SLVRLN Index
SPA5WMUN Index
ACDAPR Index
VGK US Equity ACDER Index -> 2013년부터 존재
FQEACR Index
TGPVAN17 Index
DWGRSN Index
SPTR Index
VO US Equity CRSPMIT Index -> 2011년부터 존재
VB US Equity CRSPSCT Index -> 2011년부터 존재
SCHH US Equity DJERCUP Index -> 좀 이상함 2020년 6월부터 존재
EMLC US Equity GBIEMCOR Index
AGG US Equity
