AAPL US Equity
MSFT US Equity
GOOGL US Equity
GOOG US Equity
AMZN US Equity
TSLA US Equity
FB US Equity
BRK/B US Equity
NVDA US Equity
V US Equity
UNH US Equity
JNJ US Equity
JPM US Equity
PG US Equity
WMT US Equity
HD US Equity
BAC US Equity
MA US Equity
XOM US Equity
PFE US Equity
KO US Equity
DIS US Equity
CVX US Equity
PEP US Equity
CSCO US Equity
ADBE US Equity
ABBV US Equity
LLY US Equity
TMO US Equity
CMCSA US Equity
NKE US Equity
VZ US Equity
ABT US Equity
ACN US Equity
AVGO US Equity
ORCL US Equity
CRM US Equity
COST US Equity
INTC US Equity
WFC US Equity
MRK US Equity
DHR US Equity
PYPL US Equity
MCD US Equity
T US Equity
QCOM US Equity
NFLX US Equity
UPS US Equity
MS US Equity
SCHW US Equity
